Program ID,Location ID,Final URL,Image URL,Area of study,Program name,Subtitle,Program description,Address,Contextual keywords,Similar program IDs
5743,kuopio,https://savonkoulutus.fi/koulutukset/kuljetusala-adr-peruskurssi-p-yp-16-11-2026-19-11-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Ajoneuvo, logistiikka",Kuljetusala: ADR peruskurssi (P/YP),Alkaa 16.11.2026 · Kuopio,"Aloitus ma 16.11.2026 klo 8.15 Savon ammattiopisto, Kolmisopentie 7, 70780 Kuopio Rakennus 1 (lounasravintolan rakennus). Kokoontuminen 1 krs. aulassa.","Kolmisopentie 7, 70780 Kuopio",Kuljetusala: ADR peruskurssi (P/YP);Ajoneuvo;logistiikka;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
5294,varkaus,https://savonkoulutus.fi/koulutukset/silmamaaraisen-tarkastuksen-koulutukset-vt1-ja-vt2-40-h/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Kone-, tuotanto- ja energiatekniikka",Silmämääräisen tarkastuksen koulutukset VT1 ja VT2 (40 h),Alkaa 16.11.2026 · Varkaus,"Osmajoentie 75, Varkaus 16.11.2026 klo 8-16 17.11.2026 klo 8-16 18.11.2026 klo 8-16 19.11.2026 klo 8-16 20.11.2026 klo 8-16 Koulutuksen hinta 2200 € + alv25,5% VT1-koulutuksen jälkeen osaat -tunnistaa, mitata ja raportoida hitsausvirheistä silmämääräisen tarkastuksen perusteella, -käyttää mittalaitteita. Opit lisäksi ymmärtämään hitsausvirheiden syitä ja vaikutuksia rakenteen kestävyyteen. VT1-koulutuksesta saat SFS-EN ISO 9712 mukaisen silmämääräisen tarkastuksen 1-tason todistuksen, joka…",,Silmämääräisen tarkastuksen koulutukset VT1 ja VT2 (40 h);Kone-;tuotanto- ja energiatekniikka;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Varkaus,
5806,kuopio,https://savonkoulutus.fi/koulutukset/kinestetiikan-peruskurssi/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Sosiaali ja terveys,Kinestetiikan® peruskurssi,Alkaa 1.3.2027 · Kuopio,"Innovatiivinen kinestetiikka® soveltuu moneen. Se on voimavaralähtöinen toimintamalli, mikä tukee ihmistä hänen perustoiminnoissaan siten, että hän kokee toimintansa mielekkäänä ja kykenee aktiivisesti osallistumaan toimintoihinsa huolimatta sairaudestaan tai vammaisuudestaan. Koulutuksen tavoitteena on että osallistuja • oppii oman kehon hallintaa • ymmärtää mikä vaikutus omalla liikkumisella on avustustilanteissa • oppii tukemaan toista ihmistä tavalla, joka mahdollistaa aktiivisen…",,Kinestetiikan® peruskurssi;Sosiaali ja terveys;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
5730,kuopio,https://savonkoulutus.fi/koulutukset/kaasusumuttimen-kaytto-petoelainten-aiheuttamissa-uhkatilanteissa-koulutus-6-t/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Turvallisuus,Kaasusumuttimen käyttö petoeläinten aiheuttamissa uhkatilanteissa -koulutus (6 t),Alkaa 24.11.2026 · Kuopio,"24.11.2026 klo 9.00–15.00 Savilahden kampus, Hehkukatu 1, Kuopio Kokoontuminen C-rakennuksen (Valo) pääaulaan Sisältö: * Kaasusumuttimen sisältämät aineet * Kaasusumutin * Kaasusumuttimen käyttö * Käytännön osaamisen toteaminen ja koe Hyväksytysti suoritetun koulutuksen jälkeen osallistujalla on mahdollisuus hakea poliisilta hallussapitolupaa kaasusumuttimelle mahdollisia suurpetokohtaamisia varten. Koulutuksen sisältö perustuu Poliisihallituksen ohjeistukseen kaasusumutinkoulutuksen…",,Kaasusumuttimen käyttö petoeläinten aiheuttamissa uhkatilanteissa -koulutus (6 t);Turvallisuus;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
5270,kuopio,https://savonkoulutus.fi/koulutukset/jarjestyksenvalvojan-kertauskoulutus-8-h-10-11-ja-12-11-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Turvallisuus,Järjestyksenvalvojan kertauskoulutus (8 h) ja,Alkaa 10.11.2026 · Kuopio,"Koulutusillat klo 16.00–20.00 Tiistai 10.11.2026 Torstai 12.11.2026 Savilahden kampus, Hehkukatu 1, Kuopio Kokoontuminen C-rakennuksen (Valo) pääaulaan Jv-kortti on mahdollista uusia 6 kk ennen voimassaolopäivän päättymistä. Kertauskoulutuksen kokeen hyväksytysti suorittaneet voivat hakea poliisilta järjestyksenvalvojaksi hyväksymistä. Kertauskoulutus on laajuudeltaan kahdeksan (8) oppituntia ja koulutus edellyttää läsnäoloa kaikilla tunneilla.",,Järjestyksenvalvojan kertauskoulutus (8 h) ja;Turvallisuus;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
5443,kuopio,https://savonkoulutus.fi/koulutukset/jannitetyokoulutus-8-h-20-10-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Sähkö-, energia- ja automaatiotekniikka",Jännitetyökoulutus (8 h),Alkaa 20.10.2026 · Kuopio,"Ti 20.10.2026 klo 8.00-16.00 Hehkukatu 1, Kuopio Saapuminen ja pysäköinti Sähkötyöturvallisuusstandardin SFS6002-mukainen jännitetyökoulutus 1000V. * Sähköturvallisuuslaki ja -asetus * Sähkön vaarat ja tapaturmat * Jännitetöiden organisointi * Jännitetyön vaatimukset * Käytännön harjoitukset * Koe Koulutuksen hinta sisältää kahvit ja lounaan.",,Jännitetyökoulutus (8 h);Sähkö-;energia- ja automaatiotekniikka;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
5446,verkko,https://savonkoulutus.fi/koulutukset/innovatiivinen-palvelumuotoilu-opi-testaa-kehita/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Liiketalous, johtaminen ja yrittäjyys","Innovatiivinen palvelumuotoilu – Opi, testaa, kehitä!",Alkaa 12.11.2026 · Etätoteutus,"Opi, miten asiakasymmärrys, liiketoimintatarpeet ja luova suunnittelu yhdistyvät vaikuttaviksi palveluiksi. Koulutuksessa saat käytännön työkalut asiakaskokemuksen tutkimiseen, suunnittelutiedon hyödyntämiseen ja palvelujen kehittämiseen. Koulutus toteutetaan Teamsin välityksellä 12.11.2026 7 tuntia 3.12.2026, 4 tuntia Tämä koulutus antaa sinulle taidot ja itsevarmuuden kehittää palveluita, jotka todella erottuvat ja tuottavat arvoa – niin asiakkaille kuin organisaatiollekin! Saat…",,"Innovatiivinen palvelumuotoilu – Opi, testaa, kehitä!;Liiketalous;johtaminen ja yrittäjyys;Ammatillinen täydennyskoulutus;korttikoulutukset",
5602,varkaus,https://savonkoulutus.fi/koulutukset/hygieniapassitesti-uusinta-varkaus/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Majoitus- ja ravitsemispalvelut, matkailu","Hygieniapassitesti UUSINTA, Varkaus",Alkaa 18.11.2026 · Varkaus,"Ilmoita ""Lisätiedot""-kentässä - testikieli: suomi, ruotsi, englanti Uusintatesti 18.11.2026 klo 15.15 - 16.15 Varkaus, Osmajoentie 75 C, luokka C1014 Saavu paikalle hyvissä ajoin. Koulun alueelle pysäköintiä varten tarvitset pysäköintiluvan (opiskelijapaikat). Pysäköintiluvan voit hakea A-rakennuksen asiakaspalvelupisteestä. Huom. **Ota mukaan voimassa oleva henkilöllisyystodistus. Kännykässä oleva kuva todistuksesta ei kelpaa. Lyijykynän käyttö ei ole sallittua, ota kuulakärkikynä (ei…",,"Hygieniapassitesti UUSINTA, Varkaus;Majoitus- ja ravitsemispalvelut;matkailu;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Varkaus",
5601,kuopio,https://savonkoulutus.fi/koulutukset/hygieniapassitesti-uusinta-kuopio/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Majoitus- ja ravitsemispalvelut, matkailu","Hygieniapassitesti UUSINTA, Kuopio",Alkaa 28.10.2026 · Kuopio,"Ilmoita ""Lisätiedot""-kentässä - mihin testipäivään osallistut - testikieli: suomi, ruotsi, englanti Uusintatesti 28.10.2026 klo 14.15-15.15 Uusintatesti 24.11.2026 klo 15.15-16.15 Uusintatesti 10.12.2026 klo 14.15-15.15 Kuopio, Hehkukatu 1, Savilahden kampus, B2OP02 Kokoontuminen pääaulassa (Valo, C-osa, 1.krs) Saapuminen ja pysäköinti Huom. **Ota mukaan henkilöllisyystodistus ja kuulakärkikynä (ei musta)!** Lyijykynän käyttö ei ole sallittua.",,"Hygieniapassitesti UUSINTA, Kuopio;Majoitus- ja ravitsemispalvelut;matkailu;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio",
5826,kuopio,https://savonkoulutus.fi/koulutukset/kappaletavaranosturin-kayttokoulutus-14-12-2026-16-12-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Ajoneuvo, logistiikka",Kappaletavaranosturin käyttökoulutus,Alkaa 14.12.2026 · Kuopio,"Huom! Tämä on eri koulutus kuin erikseen tarjoamamme asennusnosturikoulutus. Koulutuksen ajankohta 14.- 16.12.2026, klo 8-16. Aloitus ma 14.12.2026 klo 8:00 Savon ammattiopisto, Kolmisopentie 7, 70780 Kuopio Rakennus 1 (lounasravintolan rakennus), 1 krs, kokoontuminen lounasravintolan edessä. Koulutuksen sisältö: – kappaletavaranosturin käyttämiseen liittyvä lainsäädäntö – nostosuunnitelmat – nosturin ja nostoapuvälineiden tarkastus- ja hylkäysperusteet – henkilönostot – muuta nosturin…","Kolmisopentie 7, 70780 Kuopio",Kappaletavaranosturin käyttökoulutus;Ajoneuvo;logistiikka;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
